category,value
C,8.858630238469324
A,1.9644486483086845
C,4.433969700648994
D,3.043879961968454
C,8.896639374583192
A,7.79375503539766
A,6.692112287183058
A,8.844725743009691
B,9.680275044973076
D,1.9995941580307195
A,2.406015579267979
C,7.857605608129463
B,3.5753034262687775
B,4.3461415297684365
B,1.0846505790028336
C,7.997488998584825
B,1.4521173153716918
A,2.0105183606228216
A,2.4644466748692926
A,9.162302740744257
C,8.856731520747498
C,4.901086610279331
B,9.957833456710294
A,3.848150280428646
D,5.1335440989596375
B,7.645732982448479
A,4.613362920586509
B,9.48287024143273
A,4.193082050945812
D,8.870001463312716
A,7.180880313183713
B,9.942203183536904
B,3.7485533048551343
C,6.756447165765406
D,3.130572572730065
C,6.365190522403882
A,9.936476638024995
C,8.510952204884031
A,7.020596681672187
B,1.3172271506430975
C,3.228655752593063
C,8.031048635750274
B,9.221905380882301
D,2.2433652918569065
A,4.34685745612793
A,9.090703711915058
C,6.156336644504966
D,9.531723974160872
B,1.7901161317206147
D,2.4039637023605094
