category,value
A,4.5754282496640055
D,1.4179006054507446
D,3.5417863043382827
C,1.2914429111587618
C,3.7877917398593226
A,3.699134952003228
C,1.802888400762126
D,6.5376085821266114
B,5.464450535509889
D,8.368740186022357
B,9.19947820863915
B,9.3042981875048
C,7.711162654531057
C,8.460576505839928
B,3.68682116021641
D,6.477539205857067
B,9.760997062582788
A,2.2989600907251377
B,2.689566879138764
A,1.154239150947457
B,6.170399840721718
D,1.8856657816802933
D,5.1503781386464755
A,5.9130462501282945
B,4.675689869903623
B,1.5620094269372176
C,9.617273768344406
B,9.416871312116063
C,8.014795035371613
D,8.310294717241984
C,6.046320298123229
D,2.443688066280086
C,3.2875055743539643
A,1.4454203384664703
B,6.63572410545825
D,1.0876661136073742
D,9.362794088282536
A,2.5829996181566828
C,2.9744293625671188
D,6.702407645934247
C,8.885224384179184
A,4.383683919224608
A,9.175169764647023
D,6.078690513269504
B,2.5417809843068775
C,8.182955318897605
D,2.4219466985575386
B,2.6830106221483354
D,2.3026237355128627
D,6.0176166876277595
