category,value
D,6.142206611059061
D,8.399713897635477
D,9.146603162301355
B,9.128022868389088
C,8.967513728177533
C,1.6816108988639022
B,3.8995278910384314
D,4.614037358720978
D,4.504243151488844
D,7.560883485089081
D,8.359992802243259
B,4.481710813139383
B,4.651246479099729
B,2.3457270669576094
C,3.897812227989673
C,7.124095767112387
C,5.918754043548888
C,1.8056586203831806
D,2.8732503461859435
B,8.963274721817463
D,6.648249641404994
A,1.3598420877373023
D,7.47123456017403
B,4.77850953572352
B,7.54366990235455
B,9.407292412235378
B,4.549597741352267
C,1.7661413452046808
B,8.109630083427554
A,9.48573430537415
A,1.1210526102828067
A,4.303309544068138
D,9.648150618148605
B,6.660217458936584
D,9.930488995559235
B,8.438551194577668
D,6.607493886638208
A,5.132229502041072
B,8.922689391002214
D,7.518014430623026
A,5.219535313919072
B,4.4596920031267695
B,8.480278559264317
A,1.190672968088732
B,9.32864612258583
D,1.1616526682443924
A,1.7811329426821083
B,4.17663255735552
B,9.363063202761154
B,9.032857108425004
